"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 30 11:59:18 EEST 2022","Sat Jul 30 11:59:18 EEST 2022","230","","main","","","","test_req[RUB]",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","1","","main","","","","test_parametrize_with_mark_single[2]",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_foo[3-0]",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","1","","main","","","","test_foo[2-1]",""
"passed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[Three plus five]",""
"passed","Sat Jul 30 11:59:18 EEST 2022","Sat Jul 30 11:59:18 EEST 2022","239","","main","","","","test_req[BTC]",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_foo[2-0]",""
"passed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[3]",""
"passed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[six plus nine]",""
"passed","Sat Jul 30 11:59:18 EEST 2022","Sat Jul 30 11:59:18 EEST 2022","282","","main","","","","test_req1",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_parametrize_with_mark_single[1]",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","0","","main","","","","test_parametrize_with_multiply_mark[five by five]",""
"passed","Sat Jul 30 11:59:18 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","234","","main","","","","test_req2",""
"failed","Sat Jul 30 11:59:19 EEST 2022","Sat Jul 30 11:59:19 EEST 2022","1","","main","","","","test_foo[3-1]",""
"passed","Sat Jul 30 11:59:17 EEST 2022","Sat Jul 30 11:59:18 EEST 2022","234","","main","","","","test_req[EUR]",""
"passed","Sat Jul 30 11:59:17 EEST 2022","Sat Jul 30 11:59:17 EEST 2022","257","","main","","","","test_req[USD]",""
